"Position","Avg Yearly Salary","Min Yearly Salary","Max Yearly Salary"
"Unity Developer","$130k","$60k","$228k"
"Android Developer","$114k","$49k","$185k"
"Flutter Developer","$65k","$40k","$120k"
"Quantitative Developer","$200k","$70k","$300k"
"Mobile Developer","$152k","$80k","$250k"
"iOS Developer","$120k","$50k","$200k"
"Backend Developer","$160k","$70k","$260k"
"Crypto","$150k","$84k","$260k"
"Front-end Developer","$149k","$70k","$240k"
"Smart Contract Developer","$125k","$60k","$250k"
"Solana Developer","$150k","$80k","$250k"
"C Plus Plus Developer","$200k","$100k","$280k"
"Golang Developer","$160k","$85k","$250k"
"Cryptography","$178k","$80k","$300k"
"Solidity Developer","$150k","$65k","$257k"
"C Developer","$200k","$100k","$280k"
"Rust Developer","$150k","$80k","$275k"
"Full Stack Developer","$140k","$60k","$250k"
"Machine Learning Engineer","$180k","$140k","$260k"
"Ethereum Developer","$151k","$80k","$260k"
"Java Developer","$152k","$92k","$260k"
"Python Developer","$120k","$60k","$250k"
"Node.js Developer","$150k","$70k","$250k"
"NFT","$125k","$60k","$250k"
"Javascript Developer","$148k","$70k","$248k"
"Blockchain Developer","$150k","$78k","$262k"
"AI Engineer","$120k","$70k","$200k"
"DevOps Engineer","$140k","$74k","$250k"
"React Developer","$150k","$72k","$250k"
"Product Manager","$170k","$110k","$264k"
"Legal","$170k","$118k","$275k"
"Finance","$150k","$90k","$278k"
"Marketing","$120k","$60k","$225k"
"Social Media","$80k","$32k","$166k"
"Design","$140k","$72k","$245k"
"Project Manager","$122k","$65k","$185k"
"HR","$137k","$83k","$242k"
"Sales","$135k","$70k","$272k"
"Community Manager","$76k","$40k","$178k"
"Recruiter","$134k","$76k","$240k"